ID_FASHI,RA_FASHI,DEC_FASHI,z_FASHI,OBJID_SDSS,RA_SDSS,DEC_SDSS,Probability_SDSS
,deg,deg,,,deg,deg,
20230031449,193.063,49.688,0.05457,1237658204513763613,193.058,49.695,0.931
20230031461,140.285,49.714,0.05492,1237654651495907699,140.292,49.713,0.860
20230031473,165.238,49.726,0.02254,1237657627913093216,165.239,49.722,0.976
20230031469,218.113,49.722,0.00748,1237659119323906296,218.138,49.724,0.941
20230031476,209.018,49.728,0.00668,1237661958296830278,209.008,49.724,0.920
20230062873,57.996,49.726,0.03295,1237666463714381316,58.000,49.728,0.945
20230031478,139.572,49.731,0.05473,1237655107292234188,139.562,49.735,0.914
20230031488,172.773,49.749,0.04716,1237658205044932824,172.785,49.739,0.983
20230062874,55.919,49.727,0.03301,1237667139098837808,55.917,49.748,0.994
20230031493,141.680,49.752,0.04359,1237657771781129186,141.680,49.751,0.952
20230031506,23.875,49.767,0.03308,1237671067923251828,23.879,49.764,0.998
20230031508,218.521,49.770,0.00711,1237659132209266837,218.524,49.770,0.999
20230056352,151.117,49.769,0.02292,1237657590314172502,151.112,49.771,0.996
20230031515,22.406,49.775,0.04059,1237671068996929122,22.407,49.772,0.980
20230031511,203.893,49.774,0.05786,1237661957221712559,203.890,49.774,0.998
20230031503,191.479,49.764,0.03880,1237658204513370378,191.473,49.789,0.503
20230052705,190.314,49.790,0.01683,1237658204513042596,190.310,49.792,0.988
20230031526,183.849,49.785,0.04712,1237658204511207586,183.848,49.793,0.967
20230031557,24.409,49.808,0.03696,1237671067386446095,24.412,49.797,0.968
20230031554,23.098,49.807,0.01913,1237671068460122577,23.105,49.812,1.000
20230031537,160.938,49.794,0.00794,1237657856604569768,160.881,49.817,0.222
20230051564,203.349,49.833,0.04992,1237661957221581219,203.344,49.827,0.947
20230031588,169.763,49.830,0.02604,1237658205581017284,169.764,49.834,0.993
20230056109,215.550,49.845,0.02726,1237659131134738554,215.551,49.843,1.000
20230031603,225.173,49.845,0.01174,1237661417142550949,225.177,49.843,0.999
20230031596,173.476,49.842,0.01033,1237658205045129440,173.478,49.848,0.991
20230031599,184.871,49.842,0.06253,1237658204511469744,184.857,49.851,0.959
20230051418,126.605,49.864,0.05977,1237651192430199599,126.605,49.860,0.850
20230051488,212.821,49.869,0.04902,1237662302971035681,212.817,49.873,0.998
20230031623,137.982,49.873,0.01592,1237655108365648519,137.965,49.873,0.950
20230031620,164.999,49.870,0.04403,1237657855531941991,165.009,49.884,0.934
20230031640,115.463,49.890,0.02114,1237663918411939993,115.474,49.891,0.970
20230031657,57.129,49.916,0.03294,1237667138562230252,57.094,49.906,0.998
20230031630,58.395,49.879,0.03282,1237666463714509865,58.434,49.909,0.982
20230031660,57.049,49.920,0.03326,1237667138562229411,57.040,49.920,1.000
20230031666,57.028,49.929,0.03331,1237667138562229411,57.040,49.920,1.000
20230031665,115.111,49.929,0.02080,1237663789564494007,115.112,49.923,0.909
20230031664,231.949,49.927,0.00602,1237659149925482843,231.947,49.925,0.999
20230056266,170.290,49.932,0.02589,1237658614128836629,170.275,49.930,0.993
20230031680,59.383,49.953,0.03274,1237666463177835544,59.379,49.944,1.000
20230051556,180.136,49.952,0.05101,1237658613057847347,180.130,49.945,0.953
20230051440,137.036,49.963,0.05165,1237655108902322985,137.041,49.965,0.906
20230031688,227.974,49.971,0.04225,1237661388145951048,227.972,49.970,1.000
20230031679,151.481,49.950,0.00378,1237657242974224544,151.465,49.982,0.893
20230031699,58.436,49.997,0.03327,1237666463714511743,58.454,49.997,0.997
20230056106,217.259,50.010,0.03642,1237659119323644449,217.262,50.013,0.981
20230051443,140.022,50.014,0.05138,1237654652032778939,140.024,50.015,0.973
20230031710,191.384,50.019,0.04053,1237661151377227867,191.382,50.016,0.993
20230031713,194.528,50.022,0.04182,1237658205051093328,194.545,50.019,0.856
20230031712,192.321,50.020,0.02003,1237658205050437800,192.320,50.024,0.999
20230031715,56.965,50.027,0.03356,1237666464788054761,56.981,50.026,0.968
20230031716,58.737,50.029,0.01300,1237667137488815366,58.742,50.032,0.950
20230031722,164.670,50.033,0.01493,1237657628449833607,164.671,50.033,0.993
20230056121,59.323,50.033,0.03310,1237666463177838335,59.320,50.034,0.988
20230051541,151.897,50.050,0.05131,1237657590314434794,151.897,50.053,0.991
