ID_FASHI,RA_FASHI,DEC_FASHI,cz_FASHI,AGCNr_ALFALFA,RA_ALFALFA,DEC_ALFALFA,cz_ALFALFA
,deg,deg,km/s,,deg,deg,km/s
20230058489,18.038,32.002,5233.61,110119,18.038,32.002,5243
20230008194,192.538,32.002,7085.39,728356,192.526,32.014,7086
20230008193,152.238,32.002,1442.06,200110,152.245,32.013,1451
20230008192,135.046,32.001,1934.83,180575,135.058,32.000,1970
20230008191,34.089,31.998,8680.37,1750,34.091,32.002,8749
20230008190,32.293,31.998,13721.22,122953,32.297,32.004,13725
20230008188,29.750,31.997,5217.74,113968,29.750,32.005,5223
20230008185,343.415,31.995,3943.33,321442,343.407,31.992,3932
20230008180,202.419,31.993,13166.42,231112,202.423,31.987,13136
20230060992,243.201,31.993,9273.43,10276,243.204,31.995,9271
20230008178,32.288,31.993,5007.71,1641,32.288,31.992,5007
20230008177,37.851,31.992,4713.05,123022,37.857,31.995,4702
20230008172,190.406,31.990,4401.30,229547,190.410,31.987,4413
20230008171,210.316,31.989,10005.61,748401,210.324,31.990,10014
20230008170,34.343,31.988,6074.05,123104,34.352,31.990,6077
20230008169,135.226,31.987,1996.06,4725,135.233,31.993,1998
20230008168,203.174,31.987,11630.78,234844,203.171,32.002,11625
20230008167,158.455,31.986,7378.63,208893,158.453,31.983,7382
20230008166,28.115,31.986,10771.60,1341,28.120,31.985,10753
20230008165,24.226,31.986,6582.98,1152,24.232,31.984,6603
20230008164,344.443,31.985,6961.46,321446,344.437,31.980,6900
20230008162,196.302,31.984,15575.33,8179,196.310,31.997,15577
20230008159,18.118,31.982,10436.93,111262,18.123,31.991,10456
20230008158,227.743,31.982,10027.83,254371,227.752,31.982,10028
20230058485,117.536,31.982,15996.18,171868,117.539,31.973,15969
20230008156,193.838,31.981,9028.84,725179,193.849,31.985,9021
20230008150,206.895,31.979,13759.83,235226,206.886,31.967,13855
20230008145,145.859,31.973,1663.03,198753,145.853,31.967,1642
20230008144,215.713,31.973,8742.44,748485,215.726,31.974,8742
20230008143,14.984,31.972,4738.60,102830,14.987,31.974,4737
20230008142,30.090,31.971,9857.00,122954,30.089,31.969,9872
20230008141,142.017,31.970,6981.60,194997,142.009,31.984,6953
20230008138,142.378,31.968,12721.56,195052,142.370,31.959,12723
20230008136,26.056,31.968,10937.81,113945,26.055,31.968,10913
20230060988,243.931,31.964,9461.02,10302,243.942,31.969,9455
20230058479,181.566,31.961,6495.24,724450,181.569,31.973,6487
20230008130,113.743,31.960,5696.30,171589,113.763,31.961,5701
20230008128,12.212,31.959,4533.64,499,12.197,31.954,4540
20230008127,181.567,31.959,6493.24,226876,181.575,31.943,6523
